"","analysis","mn0","mn1","med0","med1","est","se","lo","hi","pval","nobs","g","g.se","g.lo","g.hi","pvalBonf","group","group.specific"
"treat...1","mainY CC",56.4912587412587,53.1625560538117,49,49,-2.48339612459178,3.24549430560688,-8.86026364725776,3.89347139807419,0.44453264341843,509,-0.0710174223806524,0.0928110653201462,-0.253376044043185,0.111341199281881,NA,"mainY","mainY"
"treat...2","totalMeat CC",30.9510489510489,26.72533632287,27.25,24.5,-3.43383413032614,2.2245570239833,-7.80472623574456,0.937057975092286,0.123332600271724,509,-0.140924190908782,0.0912955858777952,-0.320305142383911,0.0384567605663468,1,"secY","secY food"
"treat...3","totalAnimProd CC",25.5402097902098,26.4372197309417,21,21.25,0.950438005734361,1.79718799660289,-2.58074359204666,4.48161960351539,0.597151834400444,509,0.0481179701989372,0.0909865114196571,-0.130655700323401,0.226891640721275,1,"secY","secY food"
"treat...4","chicken CC",10.9388111888112,10.2713004484305,10,10,-0.558901922307068,0.866798708965244,-2.26202015805319,1.14421631343905,0.51936718183833,509,-0.0573247984797059,0.0889047958697163,-0.232008237119981,0.117358640160569,1,"secY","secY food"
"treat...5","turkey CC",2.70891608391609,1.80269058295964,0,0,-1.02041857430799,0.498670145374969,-2.00022416172533,-0.0406129868906597,0.0412642083947041,509,-0.18570464865988,0.090752330931286,-0.364018192677558,-0.00739110464220331,0.70149154270997,"secY","secY food"
"treat...6","fish CC",4.48513986013986,3.6042600896861,3.5,0,-0.809507547220102,0.522178899657458,-1.83550400652507,0.216488912084867,0.121729908897077,509,-0.136593546123532,0.0881106888503202,-0.30971669385442,0.0365296016073553,1,"secY","secY food"
"treat...7","pork CC",3.3715034965035,3.07511210762332,0,0,-0.0881938163666829,0.508733938754904,-1.08777311808339,0.911385485350029,0.862440809936053,509,-0.0157619694064901,0.0909207596296654,-0.194406448374423,0.162882509561442,1,"secY","secY food"
"treat...8","beef CC",7.2263986013986,6.61883408071749,5,5,-0.211132473845979,0.697886327571584,-1.58236540101998,1.16010045332802,0.762375964430643,509,-0.0269424262938336,0.0890566505453267,-0.201924234630026,0.148039382042359,1,"secY","secY food"
"treat...9","otherMeat CC",2.22027972027972,1.35313901345291,0,0,-0.745679796278326,0.422271186921672,-1.57537387800462,0.0840142854479704,0.0780413958782291,509,-0.156114439988601,0.0884060828771511,-0.329817988853712,0.0175891088765088,1,"secY","secY food"
"treat...10","dairy CC",17.2395104895105,18.7948430493273,12.25,12.25,1.51472746036318,1.44266737064937,-1.31987886940625,4.34933379013262,0.294261141161118,509,0.0922987538100276,0.0879078276176495,-0.080425804650809,0.265023312270864,1,"secY","secY food"
"treat...11","eggs CC",8.3006993006993,7.64237668161435,7,4,-0.564289454628819,0.823548569267795,-2.18242821260757,1.05384930334993,0.493547670340253,509,-0.0637471176423291,0.0930353156498713,-0.246546354665703,0.119052119381045,1,"secY","secY food"
"treat...12","totalGood CC",65.0804195804196,67.3991031390134,57.75,57.75,2.78486034906909,3.58238012788094,-4.253932925614,9.82365362375218,0.43731298738498,509,0.0703982697055987,0.0905587106063834,-0.107534841920172,0.24833138133137,1,"secY","secY food"
"treat...13","importHealth CC",3.88461538461538,3.8609865470852,4,4,-0.0503356682106081,0.0989170412070092,-0.244691537645184,0.144020201223967,0.611075083814382,509,-0.0430649960899877,0.0846290939257908,-0.209347377049861,0.123217384869886,1,"secY","secY psych"
"treat...14","importEnviro CC",3.52797202797203,3.48878923766816,3,3,-0.0263834773722112,0.106237735803199,-0.235123318928738,0.182356364184316,0.803972924775126,509,-0.0208920269836975,0.0841254400159212,-0.186184810070926,0.144400756103531,1,"secY","secY psych"
"treat...15","importAnimals CC",3.36363636363636,3.42600896860987,3,3,0.0261189320604888,0.110248997973193,-0.190502386105792,0.242740250226769,0.812827139313461,509,0.0208690319395014,0.0880889714277822,-0.152211444594515,0.193949508473518,1,"secY","secY psych"
"treat...16","activ CC",-0.0951161947518374,0.00528146658095085,-0.0980458831157753,0.0416025955652547,0.0781271288384095,0.0873956113017075,-0.093591008016921,0.24984526569374,0.371790390833363,509,0.0778116280772639,0.0870426816305877,-0.0932130594770893,0.248836315631617,1,"secY","secY psych"
"treat...17","spec CC",0.040069753469967,-0.176160795410575,-0.00617633362635618,-0.278885218359312,-0.164233015972997,0.0786894136780371,-0.318844892997157,-0.0096211389488369,0.0373969938823908,509,-0.166555471583676,0.0798021781804416,-0.323353749552524,-0.00975719361482756,0.635748896000644,"secY","secY psych"
"treat...18","dom CC",0.0149422205328586,-0.117238125974932,-0.127300064795806,-0.322414182800594,-0.135625047715308,0.0775851826098416,-0.28806729060265,0.0168171951720333,0.0810791717764356,509,-0.133930860577935,0.0766160119393599,-0.284468841004597,0.0166071198487276,1,"secY","secY psych"
